IPID,TTL,SRCIP,DSTIP,SPORT,DPORT,TSEQ,WINDS
46892,49,1245307767,3390658047,37265,2323,3520266248,4380
6072,47,1600062128,3390657852,45111,2323,3938300809,14600
30800,50,3155821147,3390657856,56198,2323,3681261556,14600
60131,53,1947209531,3390658101,56021,2323,465745125,5440
3600,49,3695562921,3390658258,41417,2323,3195556094,5840
36826,49,531883354,3390658470,55881,2323,1639265381,14600
59462,52,3690635846,3390657938,41264,2323,1711686750,5840
22046,50,245514517,3390657832,45191,2323,2388210107,14600
34370,49,1835425614,3390658458,38665,2323,968130448,14600
20257,50,624251294,3390658549,50540,2323,1236459984,5840
24523,50,245514517,3390657832,45196,2323,2310092827,14600
24179,52,3564097880,3390658192,49984,2323,1657475783,4380
27798,49,245514517,3390657832,45201,2323,2918452073,14600
29509,51,1907279586,3390657481,33356,2323,1119759883,14600
46332,53,246007660,3390658182,48234,2323,2181871603,14520
65336,53,2874919721,3390658033,54339,2323,2522364441,5440
54989,49,1908318177,3390656873,35859,2323,1809983843,14600
53075,53,93147779,3390658087,52750,2323,2717057813,14520
33336,48,996344960,3390658367,53564,2323,2317152305,4380
20258,50,624251294,3390658549,50540,2323,1236459984,5840
47621,48,3037628588,3390658549,42332,2323,2756550275,14600
41248,52,457208681,3390657883,40424,2323,1637500426,14600
27144,51,3376311835,3390658090,50806,2323,1960238198,14600
59195,49,3695562921,3390658258,52325,2323,3328935251,5840
57519,54,93233537,3390656697,35191,2323,2176228834,14600
64337,52,1984263968,3390657696,33761,2323,2761835798,14600
18245,49,1334782738,3390658215,47654,2323,2753265312,5808
35705,49,3695562921,3390658258,56230,2323,3385583820,5840
51801,49,3006883669,3390657837,39275,2323,1631873497,14600
41789,52,1952727820,3390658551,44989,2323,3364174164,14600
35840,49,3695562921,3390658258,59676,2323,3436964054,5840
31188,47,1492841399,3390657684,54125,2323,2035317266,14600
19584,53,2100068433,3390657840,4069,2323,3624585000,5808
51370,49,3695562921,3390658258,33783,2323,3462245646,5840
4913,46,3220797007,3390656547,35515,2323,3831096188,14600
51459,54,247439385,3390657306,57147,2323,1417315505,14600
44391,50,624251294,3390658549,50666,2323,1466123733,5840
41299,51,1028037283,3390657368,43789,2323,2876407396,4380
18218,49,245514517,3390657832,45273,2323,793979568,14600
19910,54,3146506652,3390658237,41135,2323,3337617257,14600
13482,49,3695562921,3390658258,35942,2323,3493679844,5840
60898,51,991370961,3390658407,50904,2323,2888212823,14600
16420,52,1939448702,3390658541,40054,2323,467597992,5840
62569,52,2064941661,3390656586,53333,2323,3301147139,14600
57979,53,2074717253,3390656670,43286,2323,2427059382,5808
8872,54,2036379271,3390657326,35272,2323,3632173454,5840
44653,51,244617138,3390658533,33878,2323,197388575,14600
